case_id,role,citation_relevance,constraints_extraction,argument_validity
169,prosecution,4,4,4
169,defense,4,4,3
169,judge,4,4,4
169,prosecution,4,4,4
169,defense,4,4,4
169,judge,4,4,4
169,prosecution,4,4,4
169,defense,4,4,3
169,judge,4,4,4
171,prosecution,4,4,4
171,defense,4,4,4
171,judge,4,3,4
171,prosecution,4,3,4
171,defense,4,4,4
171,judge,4,4,4
171,prosecution,4,3,4
171,defense,4,4,4
171,judge,4,4,4
26,prosecution,4,4,4
26,defense,4,4,4
26,judge,4,4,4
26,prosecution,4,4,4
26,defense,4,3,4
26,judge,4,2,4
26,prosecution,4,4,4
26,defense,4,3,4
26,judge,4,4,4
159,prosecution,4,4,4
159,defense,2,2,3
159,judge,4,4,4
159,prosecution,4,4,4
159,defense,4,3,4
159,judge,4,4,4
159,prosecution,4,4,4
159,defense,4,3,4
159,judge,4,4,4
104,prosecution,4,4,4
104,defense,4,4,4
104,judge,4,3,4
104,prosecution,4,3,4
104,defense,4,4,4
104,judge,4,4,4
104,prosecution,4,3,4
104,defense,4,4,4
104,judge,4,4,4
148,prosecution,4,4,4
148,defense,4,4,4
148,judge,4,3,4
148,prosecution,4,4,4
148,defense,4,4,4
148,judge,4,4,4
148,prosecution,4,3,4
148,defense,4,4,4
148,judge,4,4,4
43,prosecution,4,4,4
43,defense,4,4,4
43,judge,4,4,4
43,prosecution,4,4,4
43,defense,4,4,4
43,judge,4,4,4
43,prosecution,4,4,4
43,defense,4,4,4
43,judge,4,4,4
193,prosecution,4,4,4
193,defense,4,3,4
193,judge,4,4,4
193,prosecution,4,4,4
193,defense,4,3,3
193,judge,4,4,4
193,prosecution,4,4,4
193,defense,4,4,4
193,judge,4,4,4
158,prosecution,4,4,4
158,defense,0,0,0
158,judge,4,4,4
158,prosecution,4,4,4
158,defense,4,4,4
158,judge,4,4,4
158,prosecution,4,4,4
158,defense,4,2,2
158,judge,4,4,4
2,prosecution,4,4,4
2,defense,4,4,4
2,judge,4,4,4
2,prosecution,4,4,4
2,defense,4,4,4
2,judge,4,4,4
2,prosecution,4,4,4
2,defense,4,4,4
2,judge,4,4,4
93,prosecution,0,0,0
93,defense,4,4,4
93,judge,4,4,4
93,prosecution,0,0,0
93,defense,4,4,4
93,judge,4,4,4
93,prosecution,0,0,0
93,defense,4,3,3
